Timestamp,Gender,Age,exercise_pre,type_exercise_pre,time_pre,low_intens_pre,social_workout_pre,days_exercise_lock,type_exercise_lock,diff_exercise,time_lock,low_intens_lock,social_workout_lock,motivation_diff,social_circle_exercise,zz,moderate_intens_pre,high_intens_pre,moderate_intens_lock,high_intens_lock,xx,yy
22/04/2021 15.45.55,Kvinde,24,4-5 dage om ugen,Styrketræning,Cirka 220-300 minutter,"Primært moderat intensitet (fx. cykling, løb eller styrketræning)",Fokus på en sund og stærk krop,2-3 dage om ugen,Hjemmetræning,Det har været nogenlunde det sammen,Cirka 140-220 minutter,Lavere,"Mulighed for at være social (fx online holdtræning, gåture/løbeture med venner)",Lavere end før corona,,,,,,,,
22/04/2021 15.57.02,Kvinde,24,4-5 dage om ugen,"Gåture, Løb, Styrketræning",cirka 30-45 minutter,"Primært moderat intensitet (fx. cykling, løb eller styrketræning)",Fokus på en sund og stærk krop,2-3 dage om ugen,"Gåture, Løb, Vægttræning, Online videoer/holdtræning, Hjemmetræning",Det har været nogenlunde det sammen,Cirka 15-30 minutter,Lavere,"Mulighed for at være social (fx online holdtræning, gåture/løbeture med venner)",Lavere end før corona,,,,,,,,
22/04/2021 16.13.44,Kvinde,24,4-5 dage om ugen,"Gåture, Løb, Styrketræning",cirka 45 minutter,2,Fokus på en sund og stærk krop,2-3 dage om ugen,"Gåture, Løb, Vægttræning, Online videoer/holdtræning, Hjemmetræning",Det har været nogenlunde det sammen,Cirka 30 minutter,2,"Mulighed for at være social (fx online holdtræning, gåture/løbeture med venner)",2,,,,,,,,
22/04/2021 16.20.01,Kvinde,24,4-5 dage om ugen,"Gåture, Løb, Styrketræning",cirka 45 minutter,2,Fokus på en sund og stærk krop,2-3 dage om ugen,"Gåture, Løb, Vægttræning, Online videoer/holdtræning, Hjemmetræning",Det har været nogenlunde det sammen,Cirka 30 minutter,2,"Mulighed for at være social (fx online holdtræning, gåture/løbeture med venner)",2,,,,,,,,
23/04/2021 10.35.02,Kvinde,24,5,"Gåture, Løb, Styrketræning",cirka 45 minutter,"4 - Høj intensitet (hård styrketræning, sportsgrene såsom fodbold, håndbold, badminton, dans osv)",3,4,"Gåture, Løb, Vægttræning, Online videoer/holdtræning, Hjemmetræning",Det har været nogenlunde det sammen,Cirka 30 minutter,"3 - Moderat intensitet (let styrketræning, løb i moderat tempo)",4,2,Ja,3,,,,,,
26/04/2021 19.28.00,Mand,58,3,"Styrketræning, Sportsgren (fx. fodbold, atletik, tennis)",cirka 45 minutter,"4 - Høj intensitet (hård styrketræning, sportsgrene såsom fodbold, håndbold, badminton, dans osv)",2,2,"Cykling, Hjemmetræning",Det har ikke været det samme,Cirka 30 minutter,"3 - Moderat intensitet (let styrketræning, løb i moderat tempo)",1,2,Ja,2,,,,,,
26/04/2021 20.04.56,Kvinde,50,7,"Gåture, Styrketræning, Online holdtræning",Over 5 timer,25-50%,3,7,Gåture,Det har været det helt samme,Over 5 timer,25-50%,3,2,Ja,3,25-50%,0-25%,25-50%,25-50%,,
27/04/2021 10.24.58,Kvinde,23,6,"Gåture, Løb, Cykling, Styrketræning, Holdtræning (online, løbeklub, fitnesshold), yoga",4-5 timer,1-25 %,3,2,"Gåture, Løb, Hjemmetræning",Det har ikke været det samme,2-3 timer,50-75%,1,2,Ja,,25-50%,25-50%,1-25%,0%,,
27/04/2021 10.25.38,Kvinde,23,4,"Løb, yoga, Sportsgren (fx. fodbold, atletik, tennis)",Over 5 timer,25-50%,4,4,"Gåture, Løb, Hjemmetræning",Det har ikke været det samme,2-3 timer,50-75%,2,1,Ja,,25-50%,1-25%,1-25%,1-25%,,
27/04/2021 10.27.15,Kvinde,22,3,Gåture,3-4 timer,75-100%,0,5,Gåture,Det har været nogenlunde det sammen,Over 5 timer,75-100%,0,4,Nej,,1-25%,0%,0%,0%,,
27/04/2021 10.27.38,Kvinde,23,5,"Gåture, Cykling, Hjemmetræning",Under 1 time,25-50%,0,6,"Gåture, Hjemmetræning",Det har været nogenlunde det sammen,1-2 timer,25-50%,1,4,Nej,,1-25%,0%,25-50%,0%,,
27/04/2021 10.29.12,Kvinde,20,,"Gåture, Cykling, Havearbejde/Byggearbejde",1-2 timer,1-25 %,1,1,"Gåture, Havearbejde/Byggearbejde",Det har været nogenlunde det sammen,Under 1 time,75-100%,4,1,Nej,,50-75%,0%,0%,0%,,
27/04/2021 10.35.14,Kvinde,25,6,"Gåture, Løb, Cykling, Styrketræning",4-5 timer,1-25 %,2,6,"Gåture, Løb, Cykling, Hjemmetræning, Yoga",Det har ikke været det samme,4-5 timer,25-50%,3,4,Nej,,25-50%,1-25%,25-50%,1-25%,,
27/04/2021 10.38.13,Kvinde,23,6,"Gåture, Cykling, Styrketræning, Holdtræning (online, løbeklub, fitnesshold), yoga, Sportsgren (fx. fodbold, atletik, tennis)",Over 5 timer,50-75%,3,4,"Gåture, Løb, Hjemmetræning",Det har ikke været det samme,Over 5 timer,75-100%,2,1,Ja,,25-50%,0%,1-25%,0%,,
27/04/2021 10.47.41,Kvinde,23,2,Gåture,2-3 timer,75-100%,2,1,Gåture,Det har været nogenlunde det sammen,1-2 timer,75-100%,2,2,Ja,,1-25%,0%,1-25%,0%,,
27/04/2021 10.52.49,Mand,26,4,"Gåture, Holdtræning (online, løbeklub, fitnesshold)",3-4 timer,50-75%,1,2,Gåture,Det har ikke været det samme,2-3 timer,75-100%,2,1,Nej,,1-25%,0%,0%,0%,,
27/04/2021 10.55.14,Kvinde,23,4,"Gåture, Styrketræning, Holdtræning (online, løbeklub, fitnesshold)",2-3 timer,25-50%,3,4,"Gåture, Løb, Cykling, Hjemmetræning",Det har ikke været det samme,4-5 timer,1-25%,2,5,Nej,,1-25%,50-75%,25-50%,50-75%,,
27/04/2021 10.55.34,Kvinde,50,6,"Gåture, Holdtræning (online, løbeklub, fitnesshold), yoga, Havearbejde/Byggearbejde",3-4 timer,75-100%,2,6,"Gåture, Havearbejde/Byggearbejde",Det har ikke været det samme,3-4 timer,75-100%,1,2,Nej,,1-25%,0%,0%,0%,,
27/04/2021 10.58.52,Kvinde,29,4,"Gåture, Holdtræning (online, løbeklub, fitnesshold), yoga, Hjemmetræning",2-3 timer,50-75%,1,5,"Gåture, Løb, Hjemmetræning, Yoga",Det har været nogenlunde det sammen,3-4 timer,50-75%,0,3,Ja,,1-25%,1-25%,1-25%,0%,,
27/04/2021 10.58.59,Kvinde,20,2,"Gåture, Løb, Cykling, Styrketræning, Hjemmetræning",1-2 timer,50-75%,0,2,"Gåture, Løb, Cykling",Det har været det helt samme,2-3 timer,1-25%,1,4,Nej,,1-25%,0%,1-25%,1-25%,,
27/04/2021 11.01.58,Mand,18,3,"Sportsgren (fx. fodbold, atletik, tennis)",4-5 timer,0%,4,2,"Løb, Hjemmetræning, Sportsgren (fx. fodbold, atletik, tennis)",Det har ikke været det samme,1-2 timer,0%,0,2,Ja,,50-75%,25-50%,75-100%,0%,,
27/04/2021 11.02.49,Mand,23,5,Styrketræning,Over 5 timer,1-25 %,3,5,"Gåture, Løb, Cykling, Vægttræning, Hjemmetræning",Det har ikke været det samme,Over 5 timer,1-25%,2,2,Ja,,50-75%,1-25%,50-75%,1-25%,,
27/04/2021 11.03.01,Kvinde,28,5,"Gåture, Cykling, yoga",3-4 timer,50-75%,3,5,"Gåture, Løb, Cykling, Hjemmetræning, Yoga",Det har været nogenlunde det sammen,4-5 timer,50-75%,3,5,Nej,,1-25%,0%,25-50%,0%,,
27/04/2021 11.03.47,Kvinde,21,6,"Gåture, Cykling, Holdtræning (online, løbeklub, fitnesshold), yoga",Over 5 timer,50-75%,3,5,"Gåture, Cykling",Det har ikke været det samme,4-5 timer,75-100%,1,1,Nej,,25-50%,1-25%,1-25%,0%,,
27/04/2021 11.04.17,Kvinde,22,5,"Gåture, Løb, Cykling",2-3 timer,50-75%,3,5,"Gåture, Løb, Holdtræning (fx online, løbeklub, fitnesshold)",Det har ikke været det samme,3-4 timer,50-75%,4,4,Ja,,1-25%,0%,25-50%,1-25%,,
27/04/2021 11.04.21,Kvinde,25,4,"Løb, Styrketræning, Hjemmetræning",Over 5 timer,1-25 %,0,4,"Gåture, Løb, Hjemmetræning",Det har været nogenlunde det sammen,Over 5 timer,25-50%,1,3,Nej,,25-50%,1-25%,25-50%,1-25%,,
27/04/2021 11.05.05,Kvinde,22,7,"Gåture, Løb, Cykling, Hjemmetræning",4-5 timer,1-25 %,0,4,"Gåture, Løb, Cykling",Det har været nogenlunde det sammen,2-3 timer,1-25%,0,3,Nej,,50-75%,0%,50-75%,0%,,
27/04/2021 11.08.42,Kvinde,23,2,Hjemmetræning,1-2 timer,0%,0,3,"Gåture, Cykling, Hjemmetræning",Det har ikke været det samme,3-4 timer,1-25%,2,4,Nej,,50-75%,1-25%,50-75%,,,
27/04/2021 11.10.23,Mand,33,3,"Løb, Styrketræning",2-3 timer,1-25 %,0,1,Løb,Det har været det helt samme,1-2 timer,0%,1,2,Nej,,75-100%,0%,25-50%,25-50%,,
27/04/2021 11.12.25,Mand,23,4,"Gåture, Cykling, Styrketræning, Sportsgren (fx. fodbold, atletik, tennis)",2-3 timer,25-50%,3,6,"Gåture, Cykling, Sportsgren (fx. fodbold, atletik, tennis)",Det har været nogenlunde det sammen,3-4 timer,50-75%,4,4,Ja,,25-50%,1-25%,25-50%,1-25%,,
27/04/2021 11.13.13,Mand,24,5,Styrketræning,4-5 timer,0%,1,5,"Gåture, Løb, Cykling, Hjemmetræning",Det har ikke været det samme,3-4 timer,1-25%,3,5,Ja,,75-100%,0%,50-75%,0%,,
27/04/2021 11.13.56,Kvinde,25,2,"Gåture, Cykling, Havearbejde/Byggearbejde",3-4 timer,75-100%,4,4,"Gåture, Cykling, Vægttræning, Hjemmetræning, Havearbejde/Byggearbejde",Det har ikke været det samme,Over 5 timer,1-25%,2,5,Nej,,1-25%,0%,25-50%,25-50%,,
27/04/2021 11.15.45,Kvinde,22,7,"Gåture, Cykling, yoga",4-5 timer,50-75%,0,7,Gåture,Det har ikke været det samme,Over 5 timer,75-100%,,4,Ja,,1-25%,0%,0%,0%,,
27/04/2021 11.19.42,Mand,23,3,"Løb, Styrketræning, Holdtræning (online, løbeklub, fitnesshold), Hjemmetræning, Sportsgren (fx. fodbold, atletik, tennis)",2-3 timer,0%,2,2,"Løb, Sportsgren (fx. fodbold, atletik, tennis)",Det har ikke været det samme,1-2 timer,1-25%,1,2,Ja,,50-75%,1-25%,50-75%,0%,,
27/04/2021 11.21.26,Mand,26,5,"Gåture, Løb, Cykling, Hjemmetræning",3-4 timer,25-50%,1,6,"Gåture, Løb, Cykling, Hjemmetræning",Det har været nogenlunde det sammen,3-4 timer,25-50%,2,4,Ja,,25-50%,25-50%,25-50%,25-50%,,
27/04/2021 11.21.52,Kvinde,27,6,"Gåture, Cykling, yoga",4-5 timer,75-100%,2,3,"Gåture, Cykling",Det har ikke været det samme,2-3 timer,75-100%,0,1,Ja,,1-25%,0%,0%,0%,,
27/04/2021 11.23.09,Mand,27,5,"Løb, Styrketræning, Sportsgren (fx. fodbold, atletik, tennis)",Over 5 timer,1-25 %,2,3,"Løb, Hjemmetræning, Sportsgren (fx. fodbold, atletik, tennis)",Det har ikke været det samme,3-4 timer,1-25%,1,1,Nej,,75-100%,0%,75-100%,0%,,
27/04/2021 11.25.34,Kvinde,24,5,"Gåture, Løb, Styrketræning, Sportsgren (fx. fodbold, atletik, tennis)",Over 5 timer,1-25 %,3,7,"Gåture, Løb, Holdtræning (fx online, løbeklub, fitnesshold), Hjemmetræning, Havearbejde/Byggearbejde",Det har været nogenlunde det sammen,Over 5 timer,25-50%,2,3,Ja,,25-50%,1-25%,1-25%,1-25%,,
27/04/2021 11.30.19,Kvinde,22,2,"Gåture, Cykling",Under 1 time,75-100%,0,1,Gåture,Det har været det helt samme,Under 1 time,75-100%,0,3,Nej,,1-25%,0%,0%,0%,,
27/04/2021 11.30.39,Kvinde,22,5,Cykling,4-5 timer,1-25 %,1,1,Gåture,Det har ikke været det samme,Under 1 time,75-100%,3,1,Ja,,75-100%,0%,0%,0%,,
27/04/2021 11.35.45,Kvinde,21,4,"Løb, Holdtræning (online, løbeklub, fitnesshold), yoga",2-3 timer,1-25 %,1,4,"Gåture, Løb, Hjemmetræning",Det har været nogenlunde det sammen,3-4 timer,1-25%,2,4,Nej,,50-75%,1-25%,75-100%,0%,,
27/04/2021 11.36.23,Kvinde,20,5,"Gåture, Hjemmetræning",Over 5 timer,75-100%,2,3,"Gåture, Løb, Vægttræning, Holdtræning (fx online, løbeklub, fitnesshold)",Det har ikke været det samme,3-4 timer,25-50%,3,4,Nej,,0%,0%,50-75%,0%,,
27/04/2021 11.36.33,Mand,26,4,Styrketræning,2-3 timer,0%,0,1,"Holdtræning (fx online, løbeklub, fitnesshold)",Det har ikke været det samme,Under 1 time,1-25%,4,1,Nej,,75-100%,,75-100%,0%,,
27/04/2021 11.37.24,Kvinde,22,6,"Gåture, Løb, Cykling, Sportsgren (fx. fodbold, atletik, tennis)",Over 5 timer,1-25 %,2,5,"Gåture, Løb, Cykling, Sportsgren (fx. fodbold, atletik, tennis)",Det har været nogenlunde det sammen,4-5 timer,25-50%,3,5,Ja,,25-50%,1-25%,1-25%,1-25%,,
27/04/2021 11.38.17,Mand,24,5,Gåture,Over 5 timer,75-100%,0,7,"Gåture, Cykling, Vægttræning, Hjemmetræning",Det har ikke været det samme,Over 5 timer,1-25%,0,4,Nej,,0%,0%,75-100%,0%,,
27/04/2021 11.38.39,Mand,24,6,"Løb, Cykling, Styrketræning, yoga, Hjemmetræning",4-5 timer,25-50%,1,5,"Gåture, Løb, Hjemmetræning",Det har været nogenlunde det sammen,3-4 timer,25-50%,1,3,Ja,,25-50%,1-25%,25-50%,1-25%,,
27/04/2021 11.41.02,Mand,25,3,"Løb, Styrketræning",3-4 timer,25-50%,0,2,"Løb, Hjemmetræning",Det har været nogenlunde det sammen,1-2 timer,1-25%,0,2,Nej,,1-25%,1-25%,25-50%,1-25%,,
27/04/2021 11.41.07,Kvinde,19,4,"Styrketræning, Sportsgren (fx. fodbold, atletik, tennis)",Over 5 timer,0%,4,4,"Vægttræning, Sportsgren (fx. fodbold, atletik, tennis)",Det har været nogenlunde det sammen,Over 5 timer,0%,3,3,Ja,,1-25%,50-75%,1-25%,50-75%,,
27/04/2021 11.41.52,Kvinde,23,7,"Gåture, Løb, Styrketræning, Holdtræning (online, løbeklub, fitnesshold), yoga",4-5 timer,25-50%,1,5,"Gåture, Løb, Vægttræning, Holdtræning (fx online, løbeklub, fitnesshold), Hjemmetræning",Det har været nogenlunde det sammen,3-4 timer,25-50%,2,2,Ja,,25-50%,1-25%,25-50%,1-25%,,
27/04/2021 11.49.01,Kvinde,79,,79,2-3 timer,75-100%,4,2,Gåture,Det har ikke været det samme,,,,3,Ja,,0%,0%,,,,
27/04/2021 11.50.10,Mand,27,5,"Løb, Styrketræning, Hjemmetræning, Sportsgren (fx. fodbold, atletik, tennis)",4-5 timer,1-25 %,2,2,"Gåture, Løb",Det har ikke været det samme,1-2 timer,50-75%,0,1,Ja,,50-75%,,1-25%,,,
27/04/2021 11.52.43,Kvinde,22,5,"Gåture, Løb, Cykling, Styrketræning, Holdtræning (online, løbeklub, fitnesshold)",3-4 timer,25-50%,2,4,"Gåture, Løb, Cykling",Det har været nogenlunde det sammen,3-4 timer,50-75%,1,2,Ja,,25-50%,1-25%,1-25%,0%,,
27/04/2021 11.57.05,Mand,51,5,"Gåture, Løb, yoga",Over 5 timer,25-50%,2,7,"Gåture, Løb, Cykling, yoga",Det har været nogenlunde det sammen,Over 5 timer,25-50%,2,4,Ja,,50-75%,1-25%,50-75%,1-25%,,
27/04/2021 12.04.08,Mand,22,7,"Løb, Styrketræning, Sportsgren (fx. fodbold, atletik, tennis)",Over 5 timer,1-25 %,3,3,"Gåture, Hjemmetræning",Det har ikke været det samme,4-5 timer,50-75%,2,1,Ja,,75-100%,1-25%,1-25%,0%,,
27/04/2021 12.06.33,Kvinde,23,4,"Holdtræning (online, løbeklub, fitnesshold)",3-4 timer,0%,4,3,"Gåture, Løb, Cykling, Hjemmetræning",Det har ikke været det samme,3-4 timer,50-75%,1,2,Ja,,25-50%,50-75%,25-50%,1-25%,,
27/04/2021 12.11.49,Mand,24,6,"Gåture, Styrketræning, Sportsgren (fx. fodbold, atletik, tennis)",Over 5 timer,1-25 %,2,5,"Gåture, Løb, Hjemmetræning",Det har ikke været det samme,3-4 timer,1-25%,1,3,Nej,,25-50%,25-50%,50-75%,,,
27/04/2021 12.14.02,Mand,25,3,"Gåture, Løb, Cykling",3-4 timer,1-25 %,3,1,"Gåture, Cykling",Det har ikke været det samme,1-2 timer,25-50%,0,1,Ja,,50-75%,1-25%,25-50%,0%,,
27/04/2021 12.19.03,Kvinde,25,6,"Løb, Cykling, Styrketræning, Holdtræning (online, løbeklub, fitnesshold)",4-5 timer,1-25 %,3,5,"Løb, Hjemmetræning",Det har ikke været det samme,4-5 timer,1-25%,0,4,Nej,,25-50%,1-25%,75-100%,1-25%,,
27/04/2021 12.19.33,Kvinde,22,5,"Gåture, Cykling",1-2 timer,1-25 %,1,1,"Gåture, Cykling",Det har været nogenlunde det sammen,Under 1 time,50-75%,0,1,Nej,,50-75%,0%,1-25%,0%,,
27/04/2021 12.32.25,Mand,23,7,"Gåture, Løb, Cykling, Styrketræning",Over 5 timer,1-25 %,1,6,"Gåture, Løb, Cykling, Hjemmetræning, træning på udendørs træningsstativer",Det har ikke været det samme,4-5 timer,0%,0,2,Ja,,50-75%,0%,25-50%,25-50%,,
27/04/2021 12.36.06,Kvinde,21,4,"Gåture, Løb, Sportsgren (fx. fodbold, atletik, tennis)",2-3 timer,50-75%,1,6,"Gåture, Løb, Hjemmetræning",Det har været nogenlunde det sammen,4-5 timer,50-75%,2,3,Ja,,1-25%,0%,1-25%,1-25%,,
27/04/2021 12.39.16,Mand,24,5,"Gåture, Løb, Cykling, Styrketræning",Over 5 timer,1-25 %,2,1,"Gåture, Løb",Det har ikke været det samme,1-2 timer,50-75%,0,1,Nej,,50-75%,1-25%,1-25%,0%,,
27/04/2021 12.40.16,Kvinde,26,3,"Gåture, Løb, Sportsgren (fx. fodbold, atletik, tennis)",2-3 timer,75-100%,1,1,Gåture,Det har ikke været det samme,2-3 timer,75-100%,4,1,Nej,,1-25%,0%,1-25%,0%,,
27/04/2021 12.52.51,Kvinde,21,2,"Gåture, Løb, Cykling, Holdtræning (online, løbeklub, fitnesshold)",2-3 timer,25-50%,4,1,"Gåture, Cykling",Det har været nogenlunde det sammen,1-2 timer,50-75%,3,2,Ja,,1-25%,1-25%,1-25%,0%,,
27/04/2021 12.54.26,Kvinde,20,2,"Gåture, Hjemmetræning",2-3 timer,75-100%,0,2,"Gåture, Løb, Holdtræning (fx online, løbeklub, fitnesshold), Hjemmetræning",Det har ikke været det samme,Over 5 timer,75-100%,2,4,Ja,,1-25%,0%,1-25%,0%,,
27/04/2021 12.58.46,Kvinde,42,7,"Gåture, Løb, Styrketræning, Holdtræning (online, løbeklub, fitnesshold)",3-4 timer,1-25 %,2,4,Gåture,Det har ikke været det samme,2-3 timer,75-100%,2,1,Ja,,75-100%,0%,0%,0%,,
27/04/2021 13.00.43,Mand,24,4,"Gåture, Cykling, Sportsgren (fx. fodbold, atletik, tennis), Klatring",4-5 timer,25-50%,2,3,"Gåture, Cykling",Det har ikke været det samme,2-3 timer,50-75%,1,2,Ja,,25-50%,1-25%,25-50%,0%,,
27/04/2021 13.05.11,Kvinde,50,7,"Gåture, Styrketræning, Holdtræning (online, løbeklub, fitnesshold)",4-5 timer,25-50%,1,7,Gåture,Det har ikke været det samme,Over 5 timer,75-100%,3,3,Ja,,1-25%,1-25%,0%,0%,,
27/04/2021 13.06.32,Kvinde,50,4,"Gåture, Løb, Styrketræning, Holdtræning (online, løbeklub, fitnesshold)",4-5 timer,25-50%,3,4,"Gåture, Løb, Hjemmetræning",Det har ikke været det samme,3-4 timer,25-50%,3,2,Nej,,25-50%,1-25%,50-75%,,,
27/04/2021 13.10.37,Kvinde,57,4,"Gåture, Styrketræning, Sportsgren (fx. fodbold, atletik, tennis)",4-5 timer,75-100%,3,4,"Gåture, Sportsgren (fx. fodbold, atletik, tennis)",Det har ikke været det samme,2-3 timer,75-100%,2,2,Ja,,1-25%,1-25%,1-25%,1-25%,,
27/04/2021 13.22.46,Mand,29,6,"Gåture, Løb, Cykling, Styrketræning, Hjemmetræning",Over 5 timer,1-25 %,2,6,"Gåture, Løb, Cykling, Vægttræning, Hjemmetræning",Det har været nogenlunde det sammen,Over 5 timer,1-25%,2,3,Ja,,1-25%,25-50%,1-25%,25-50%,,
27/04/2021 13.41.51,Kvinde,50,5,Styrketræning,4-5 timer,0%,4,4,"Gåture, Vægttræning",Det har ikke været det samme,Over 5 timer,50-75%,1,4,Nej,,75-100%,0%,25-50%,0%,,
27/04/2021 13.42.55,Kvinde,27,4,"Styrketræning, Holdtræning (online, løbeklub, fitnesshold)",Over 5 timer,0%,2,3,"Gåture, Løb, Hjemmetræning",Det har ikke været det samme,2-3 timer,50-75%,2,1,Nej,,50-75%,1-25%,1-25%,0%,,
27/04/2021 13.51.20,Mand,49,7,"Gåture, Løb, Styrketræning",4-5 timer,25-50%,3,5,Gåture,Det har ikke været det samme,2-3 timer,75-100%,2,1,Ja,,25-50%,1-25%,1-25%,0%,,
